doc_id,pdf_page,source,source_file,source_row,decision,accepted,before_table_numbers,proposed_table_numbers,after_table_numbers,evidence,updated_at,confirmation_source
1911_census_volume_ii_part_i_ages,1,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,2,non_table_confirmed,True,,,,"This is a title page for the census volume, not a data table.",,
1911_census_volume_ii_part_i_ages,2,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,3,non_table_confirmed,True,,,,The page is blank.,,
1911_census_volume_ii_part_i_ages,3,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,4,contents_or_index_confirmed,True,,,,This page is a table of contents for the volume. No data tables are present.,,
1911_census_volume_ii_part_i_ages,4,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,5,contents_or_index_confirmed,True,,,,This page is a table of contents for the volume. No data tables are present.,,
1911_census_volume_ii_part_i_ages,6,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,6,boundary_confirmed,True,1 | 2,1 | 2,1 | 2,Page contains the continuation of Table 1 and the start of Table 2.,,
1911_census_volume_ii_part_i_ages,8,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,7,boundary_confirmed,True,2 | 3,2 | 3,2 | 3,The page contains the conclusion of Table 2 and the commencement of Table 3. Both are present in the candidate list.,,
1911_census_volume_ii_part_i_ages,10,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,8,boundary_confirmed,True,3 | 4,3 | 4,3 | 4,The page contains the continuation of Table 3 and the start of Table 4. Both are present in the candidate list.,,
1911_census_volume_ii_part_i_ages,13,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,9,boundary_confirmed,True,5 | 6,5 | 6,5 | 6,The page contains the continuation of Table 5 and the start of Table 6. Both are present in the candidate list.,,
1911_census_volume_ii_part_i_ages,17,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,10,boundary_confirmed,True,8 | 9,8 | 9,8 | 9,Page contains two distinct tables (8 and 9) as identified by the original match.,,
1911_census_volume_ii_part_i_ages,20,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,11,boundary_confirmed,True,10 | 11,10 | 11,10 | 11,Page contains the continuation of Table 10 and the start of Table 11. Both are present in the candidate list.,,
1911_census_volume_ii_part_i_ages,22,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,12,boundary_confirmed,True,11 | 12,11 | 12,11 | 12,Page contains the continuation of Table 11 and the start of Table 12.,,
1911_census_volume_ii_part_i_ages,25,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,13,boundary_confirmed,True,13 | 14,13 | 14,13 | 14,The page contains the continuation of Table 13 and the start of Table 14. Both are correctly identified in the candidate set.,,
1911_census_volume_ii_part_i_ages,27,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,14,boundary_confirmed,True,14 | 15,14 | 15,14 | 15,Page contains the continuation of Table 14 and the start of Table 15.,,
1911_census_volume_ii_part_i_ages,30,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,15,boundary_confirmed,True,16 | 17,16 | 17,16 | 17,The page contains the continuation of Table 16 and the start of Table 17. Both are present in the candidate list.,,
1911_census_volume_ii_part_i_ages,32,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,16,boundary_confirmed,True,17 | 18,17 | 18,17 | 18,Page contains the continuation of Table 17 and the start of Table 18. Both are correctly identified in the candidate set.,,
1911_census_volume_ii_part_i_ages,35,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,17,boundary_confirmed,True,19 | 20,19 | 20,19 | 20,Page contains the continuation of Table 19 and the start of Table 20.,,
1911_census_volume_ii_part_i_ages,37,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,18,boundary_confirmed,True,21 | 22,21 | 22,21 | 22,The page contains two complete tables (21 and 22) as indicated by the headers and data blocks.,,
1911_census_volume_ii_part_i_ages,38,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,19,boundary_confirmed,True,23 | 24,23 | 24,23 | 24,Page contains two complete tables (23 and 24) as identified by the original match.,,
1911_census_volume_ii_part_i_ages,41,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,20,boundary_confirmed,True,25 | 26,25 | 26,25 | 26,The page contains the conclusion of Table 25 and the start of Table 26. Both are correctly identified and within the candidate set.,,
1911_census_volume_ii_part_i_ages,58,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,21,boundary_confirmed,True,31 | 32,31 | 32,31 | 32,Page contains two complete tables (31 and 32) as identified in the candidate set.,,
1911_census_volume_ii_part_i_ages,60,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,22,accept_current_match,True,33 | 34,33 | 34,33 | 34,The page contains two complete tables (33 and 34) as identified by the prior model. The assignment is correct.,,
1911_census_volume_ii_part_i_ages,62,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,23,boundary_confirmed,True,34 | 35,34 | 35,34 | 35,Page contains two complete tables (34 and 35) as identified by their respective headers.,,
1911_census_volume_ii_part_i_ages,65,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,24,boundary_confirmed,True,37 | 38,37 | 38,37 | 38,The page contains two complete tables (37 and 38) as identified by the original match.,,
1911_census_volume_ii_part_i_ages,74,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,25,boundary_confirmed,True,44 | 45,44 | 45,44 | 45,The page contains two complete tables (44 and 45) as identified in the candidate list.,,
1911_census_volume_ii_part_i_ages,83,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,26,boundary_confirmed,True,50 | 51 | 52,50 | 51 | 52,50 | 51 | 52,"The page contains three complete tables (50, 51, and 52) as identified by their headers.",,
1911_census_volume_ii_part_i_ages,84,qa_flash_lite,data/intermediate/page_inventory/abs_1911_flagged_page_qa.csv,27,accept_current_match,True,53 | 54,53 | 54,53 | 54,The page contains two complete tables (53 and 54) as identified by the original match.,,
